"";"";"";"";"configurar";""
"1";"configurar";"-1.20939418481086";"-1.55999794869257";"1.04725149182787";"106"
"2";"xvi";"-1.69091286979258";"-2.18974490565397";"1.03350389612982";"117"
"3";"xiv";"-1.61469230200577";"-1.94682002556166";"1.02973433249896";"118"
"4";"vedar";"-1.29213927958853";"-1.88561667870008";"0.98881800546096";"149"
"5";"equilíbrio";"-1.46808571629254";"-1.89828670795035";"0.983385595579165";"157"
"6";"qualitativo";"-1.56155524650191";"-1.05738067570642";"0.972287862793056";"169"
"7";"grau";"-1.27811935733669";"-1.62444420776875";"0.966559538825273";"177"
"8";"presidente_da_república";"1.09436400815302";"-0.814511412922274";"0.953294951280479";"190"
"9";"reeleição";"1.12455913412138";"-1.22940759942733";"0.942532269604634";"210"
"10";"jorge_mussi";"-1.44930340771019";"-0.968233627884885";"0.938504974350497";"217"
"11";"conceito";"-1.16234156647679";"-1.45566104412395";"0.936046023752095";"222"
"12";"desdobramento";"-0.89402696951747";"2.35248005174016";"0.931071803422797";"234"
"13";"captação";"-1.53132646688831";"-1.56533616485776";"0.930707160903935";"235"
"14";"institucional";"0.636681017985002";"-1.1808914679363";"0.924301098223084";"255"
"15";"realmente";"1.83918572251537";"0.66029048391656";"0.921360094032992";"263"
"16";"política";"0.874061902107102";"-1.0608903020066";"0.920541080207904";"266"
"17";"diálogo";"0.811038602117841";"-1.2293133135027";"0.919673383742862";"268"
"18";"logs";"2.9641708557834";"0.803683482219428";"0.918269223676772";"275"
"19";"tutelar";"-1.93053670708612";"-2.22203170888541";"0.917344253517668";"276"
"20";"adversário";"0.841153875474004";"-1.06597717060404";"0.913594735679732";"279"
"21";"haddad";"1.17543678998985";"-1.45193546850763";"0.912571445679155";"282"
"22";"criar";"1.33337483606167";"-1.06308949838783";"0.91058786674147";"288"
"23";"mobilização";"1.087273061206";"-1.76837948962247";"0.909743079754053";"290"
"24";"disseminação";"1.47447685202205";"-1.46969617706352";"0.908406693559269";"294"
"25";"fundamentação";"-1.03256587973051";"2.14473907276404";"0.90796186786872";"296"
"26";"divulgar";"1.32543912014404";"-1.01867808190127";"0.906753392924009";"297"
"27";"pertinência";"-0.945649132223657";"2.19093356855022";"0.906558662364197";"298"
"28";"inépcia";"-1.17955805287295";"2.47715093488099";"0.90552296306324";"300"
"29";"inverídico";"0.656476645310247";"-1.60739561995624";"0.90531105039521";"301"
"30";"plenário";"-0.741989841803302";"1.89805347211893";"0.903863935058573";"304"
"31";"encontro";"1.25567666025482";"-1.33517045065914";"0.903257788463082";"305"
"32";"requerido";"-0.73069691757916";"1.60519955312431";"0.90116061669884";"309"
"33";"missão";"1.64181892780962";"-1.12375262822054";"0.900508651148099";"310"
"34";"entrevista";"1.437556856598";"-1.10712956827823";"0.899282039533601";"315"
"35";"alcançar";"1.06768579066435";"-1.40014581145982";"0.89927822128733";"316"
"36";"autoria";"-0.668648640004982";"1.80224069174759";"0.897387234821712";"318"
